Nama Daerah,Detail,Harga,Tipe,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Lantai,Sertifikasi,Alamat Lokasi,Kecamatan,Kota,HGB,"Lainnya (PPJB, Girik, Adat, dll)",SHM
"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 62 m2,700000000,Rumah,62,65,2,1,1,"Lainnya (PPJB, Girik, Adat, dll)",JL. H.samali gg.sempit RT014/001 pejaten barat ps.minggu jaksel,Pasar Minggu,Jakarta Selatan,0,1,0
"Cilandak, Jakarta Selatan",7 KT - 3 KM - 400 m2,6500000000,Rumah,400,335,7,3,2,SHM - Sertifikat Hak Milik,Cipete Jakarta Selatan,Cilandak,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",3 KT - 4 KM - 200 m2,2500000000,Rumah,200,225,3,4,1,SHM - Sertifikat Hak Milik,Jakarta timur,Cilandak,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",3 KT - 1 KM - 140 m2,1100000000,Rumah,140,120,3,1,2,SHM - Sertifikat Hak Milik,Komplek Sukatani Permai Tapos Depok,Cilandak,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",6 KT - 5 KM - 420 m2,7900000000,Rumah,420,250,6,5,2,SHM - Sertifikat Hak Milik,Komplek Bintaro Jaya sektor 3 . Dekat Pondok Pinang dan Pondok indah,Kebayoran Lama,Jakarta Selatan,0,0,1
"Pancoran, Jakarta Selatan",5 KT - 4 KM - 150 m2,3800000000,Rumah,150,216,5,4,1,HGB - Hak Guna Bangun,Jl. Pengadegan Utara pancoran jakarta Selatan,Pancoran,Jakarta Selatan,1,0,0
"Pasar Minggu, Jakarta Selatan",6 KT - 2 KM - 150 m2,3500000000,Rumah,150,175,6,2,1,SHM - Sertifikat Hak Milik,Jl. Komplek palapa pasar minggu jakarta selatan,Pasar Minggu,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",4 KT - 4 KM - 350 m2,6500000000,Rumah,350,300,4,4,2,SHM - Sertifikat Hak Milik,Jl. Kemang selatan jakarta selatan,Mampang Prapatan,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",5 KT - 4 KM - 300 m2,3650000000,Rumah,300,196,5,4,2,SHM - Sertifikat Hak Milik,Jl. Raya poltangan pasar minggu jakarta selatan,Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",5 KT - 4 KM - 200 m2,2975000000,Rumah,200,123,5,4,2,SHM - Sertifikat Hak Milik,"Komplek Palem Kebagusan, Jl Kebagusan Raya, Pasar Minggu, Jakarta Selatan",Pasar Minggu,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",3 KT - 3 KM - 148 m2,4500000000,Rumah,148,112,3,3,1,SHM - Sertifikat Hak Milik,serenia hills - lebak bulus,Cilandak,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",2 KT - 2 KM - 68 m2,841505760,Rumah,68,35,2,2,2,SHM - Sertifikat Hak Milik,Jalan pinang kalijati,Cilandak,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",4 KT - 4 KM - 134 m2,2850000000,Rumah,134,113,4,4,2,SHM - Sertifikat Hak Milik,Jl Joe Kebagusan Pasar Minggu Jakarta Selatan,Pasar Minggu,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",5 KT - 4 KM - 551 m2,10500000000,Rumah,551,609,5,4,2,SHM - Sertifikat Hak Milik,Cibubur,Cilandak,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",4 KT - 4 KM - 390 m2,9900000000,Rumah,390,140,4,4,3,SHM - Sertifikat Hak Milik,Pondok Indah Jakarta Selatan,Kebayoran Lama,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",4 KT - 3 KM - 142 m2,2500000000,Rumah,142,124,4,3,2,SHM - Sertifikat Hak Milik,Ciputat,Pesanggrahan,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",3 KT - 2 KM - 75 m2,850000000,Rumah,75,96,3,2,2,SHM - Sertifikat Hak Milik,"9 menit GERBANG TOL SAWANGAN, KOTA DEPOK",Cilandak,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",4 KT - 3 KM - 270 m2,4500000000,Rumah,270,160,4,3,3,SHM - Sertifikat Hak Milik,Indah Town house 73 jln Mawar indah no 73D rt008/rw02 kel.lebak Bulus kec.cilandak  ( depan SMP charitas )  Jakarta Selatan 12440,Cilandak,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 4 KM - 170 m2,7700000000,Rumah,170,249,3,4,1,SHM - Sertifikat Hak Milik,NIAGA HIJAU PONDOK PINANG KEBAYORAN LAMA JAKARTA SELATAN,Kebayoran Baru,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",3 KT - 2 KM - 55 m2,600000000,Rumah,55,60,3,2,2,SHM - Sertifikat Hak Milik,Pinggir Jl Raya Parung,Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",5 KT - 5 KM - 241 m2,14275000000,Rumah,241,738,5,5,1,SHM - Sertifikat Hak Milik,kalibata tengah,Pasar Minggu,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",3 KT - 2 KM - 115 m2,1500000000,Rumah,115,120,3,2,1,SHM - Sertifikat Hak Milik,Cimanggis,Cilandak,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",3 KT - 3 KM - 120 m2,2750000000,Rumah,120,160,3,3,2,SHM - Sertifikat Hak Milik,Cibubur,Cilandak,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",9 KT - 6 KM - 650 m2,12000000000,Rumah,650,477,9,6,2,SHM - Sertifikat Hak Milik,Jl.Bintaro Alamanda Raya,Pesanggrahan,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",8 KT - 3 KM - 465 m2,18837800000,Rumah,465,582,8,3,2,SHM - Sertifikat Hak Milik,"Jl. Pangeran Antasari No. 10 RT 003 RW 001, Kel. Cipete Selatan, Kec. Cilandak, Jakarta",Cilandak,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",5 KT - 5 KM - 165 m2,3924000000,Rumah,165,186,5,5,2,SHM - Sertifikat Hak Milik,"Komplek Arden Residence, Jl. Bango 2, Al Jabr, Margasatwa, Pondok labu, Pondok Indah, Citos,  Cilandak, Tol, Simatupang, Jakarta Selatan",Cilandak,Jakarta Selatan,0,0,1
"Pancoran, Jakarta Selatan",5 KT - 3 KM - 250 m2,3700000000,Rumah,250,180,5,3,2,SHM - Sertifikat Hak Milik,Jalan Minyak 1/ jalan Guru Alip,Pancoran,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",4 KT - 3 KM - 270 m2,9500000007,Rumah,270,270,4,3,2,SHM - Sertifikat Hak Milik,Pondok Indah Jakarta Selatan,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",4 KT - 3 KM - 270 m2,9500000000,Rumah,270,247,4,3,2,SHM - Sertifikat Hak Milik,Pondok Indah Jakarta Selatan,Kebayoran Lama,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",4 KT - 3 KM - 270 m2,9500000001,Rumah,270,247,4,3,2,SHM - Sertifikat Hak Milik,Pondok Indah Jaksel,Kebayoran Lama,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",4 KT - 4 KM - 350 m2,4950000000,Rumah,350,246,4,4,2,SHM - Sertifikat Hak Milik,Pesanggrahan jakarta selatan dekat tol ciledug,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",5 KT - 4 KM - 230 m2,2700000000,Rumah,230,140,5,4,2,SHM - Sertifikat Hak Milik,Bintaro pondok ranji,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",5 KT - 5 KM - 300 m2,5650000000,Rumah,300,221,5,5,2,SHM - Sertifikat Hak Milik,Pesanggrahan jakarta selatan,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",5 KT - 5 KM - 250 m2,3500000000,Rumah,250,176,5,5,2,SHM - Sertifikat Hak Milik,Pesanggrahan jakarta selatan dekat tol ciledug,Kebayoran Baru,Jakarta Selatan,0,0,1
